2014-01-04,Makara Samkranti
2014-01-06,Republic Day
2014-02-07,Maha Shivaratri
2014-04-08,Good Friday
2014-08-15,Independence Day
2014-10-02,Mahatma Gandhi Birthday
2014-10-03,Dussehra(Maha Navami)
2014-10-22,Naraka Chaturdashi
2014-10-24,Balipadyami Deepawali
2014-11-01,Kannada Rajyothsava
2014-12-25,Christmas Day
